playlist_id,playlist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,time_signature,track.disc_number,track.duration_ms,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track_number,track.uri,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,key_name,mode_name,key_mode
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.781,0.934,6,-1.475,0,0.104,0.0949,0,0.106,0.895,140.118,7hjxReKwWYciRYr2ztL1mM,4,1,141363,TRUE,https://api.spotify.com/v1/tracks/7hjxReKwWYciRYr2ztL1mM,FALSE,Brinco Com Bumbum,52,https://p.scdn.co/mp3-preview/9bc2e6ed0809a78c99add3f5f17d94b5b764b45e?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:7hjxReKwWYciRYr2ztL1mM,5LNGCqsoFwMW7xGb3vVBaU,Brinco Com Bumbum,2019-08-16,day,F#,minor,F# minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.795,0.434,5,-7.309,1,0.0517,0.844,0.00118,0.108,0.199,127.963,4Vq7vkO5R7ToBXUTgeZhtr,4,1,168750,FALSE,https://api.spotify.com/v1/tracks/4Vq7vkO5R7ToBXUTgeZhtr,FALSE,Conveniência do Posto,54,https://p.scdn.co/mp3-preview/722309050ee995c2f3f126d499cc3fda673f66cc?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:4Vq7vkO5R7ToBXUTgeZhtr,3eMkeVGeKfi62ylRzVGzO5,Restrito,2019-08-11,day,F,major,F major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.715,0.625,1,-8.509,1,0.491,0.663,6.29e-4,0.0614,0.721,132.224,3u8L63t5b4lX6m8ptinPdU,4,1,189090,FALSE,https://api.spotify.com/v1/tracks/3u8L63t5b4lX6m8ptinPdU,FALSE,Quanto Tempo Eu Perdi Com Esse Amor de Bosta,67,https://p.scdn.co/mp3-preview/0536c214b312f12b7b794fec3e20616a86aef828?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3u8L63t5b4lX6m8ptinPdU,06kEFlzuPI7ILqf6pJkYrS,Quanto Tempo Eu Perdi Com Esse Amor de Bosta,2019-05-02,day,C#,major,C# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.722,0.84,10,-3.24,0,0.0785,0.42,0,0.112,0.851,150.108,3Uq45ipGutypFPmETfaoaH,4,1,187245,TRUE,https://api.spotify.com/v1/tracks/3Uq45ipGutypFPmETfaoaH,FALSE,Gaiola É o Troco,79,https://p.scdn.co/mp3-preview/f622cf08355498f8041db38dbca4ebefa0027d1d?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3Uq45ipGutypFPmETfaoaH,015kXzs5wCoiKyNQBPy19d,Gaiola É o Troco,2019-06-07,day,A#,minor,A# minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.948,0.851,9,-0.714,1,0.0667,0.377,0,0.0364,0.881,129.992,37RSrAtyaP2jjFxa3lnoAd,4,1,72753,FALSE,https://api.spotify.com/v1/tracks/37RSrAtyaP2jjFxa3lnoAd,FALSE,Tira Meu Nome da Boca,52,https://p.scdn.co/mp3-preview/85737a327e28f4ce9f8aba3c5c3770e51ffc661b?cid=5980655d195f46ee8995cd0e1dd7f376,5,spotify:track:37RSrAtyaP2jjFxa3lnoAd,0SG6SKXEwpoQLrrpuD5wDv,Sintonia (Uma Serie Original Netflix Sintonia Kondzilla),2019-08-16,day,A,major,A major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.666,0.662,8,-3.075,1,0.0803,0.204,0.0883,0.0651,0.534,99.566,4LxE70mKBfElebCfxNHEfD,3,1,168001,FALSE,https://api.spotify.com/v1/tracks/4LxE70mKBfElebCfxNHEfD,FALSE,Maior Vibe,44,https://p.scdn.co/mp3-preview/c59c710e4778d571d6331f28afe7b3e05c8f31c5?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:4LxE70mKBfElebCfxNHEfD,1nuooMDNVHeKu8qwX5qCZB,Maior Vibe,2019-09-06,day,G#,major,G# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.725,0.705,5,-3.877,1,0.309,0.391,0,0.125,0.924,103.082,0vFKIhXa87x1qPL1TyR0hQ,3,1,120225,FALSE,https://api.spotify.com/v1/tracks/0vFKIhXa87x1qPL1TyR0hQ,FALSE,Não Sinto Saudade,45,https://p.scdn.co/mp3-preview/8e3c2b28c99b008443614d46f946d3e80141696c?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:0vFKIhXa87x1qPL1TyR0hQ,0YGncDJEHoZzrc4rWtMmOA,Não Sinto Saudade,2019-08-30,day,F,major,F major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.878,0.717,7,-3.309,0,0.376,0.395,0,0.0859,0.724,135.085,3JjmdilZHyHJTrxzqf1fWF,4,1,170666,FALSE,https://api.spotify.com/v1/tracks/3JjmdilZHyHJTrxzqf1fWF,FALSE,Baile Funk Virou Rave,57,https://p.scdn.co/mp3-preview/5c4d4c0492bdd9c26486f72242c6c4c032b96fc3?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3JjmdilZHyHJTrxzqf1fWF,4h0FRcNxbKurEydz7XxDTw,Baile Funk Virou Rave,2019-08-06,day,G,minor,G minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.954,0.613,3,-5.771,1,0.183,0.503,0,0.083,0.884,130.032,5UozeQwsAUQ2D0o3dchDeS,4,1,150670,FALSE,https://api.spotify.com/v1/tracks/5UozeQwsAUQ2D0o3dchDeS,FALSE,O Pai Tá Livre,51,NA,1,spotify:track:5UozeQwsAUQ2D0o3dchDeS,66SaZy2GKprSl6ghMaIqXA,O Pai Tá Livre,2019-06-21,day,D#,major,D# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.702,0.834,7,-3.766,1,0.0745,0.131,0.0802,0.164,0.331,160.036,4VFK8taqV3aadYULbB0JpV,4,1,96000,TRUE,https://api.spotify.com/v1/tracks/4VFK8taqV3aadYULbB0JpV,FALSE,Depois do Baile,54,https://p.scdn.co/mp3-preview/52ce2a72991d3560994638251d7013b01b9dc1fb?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:4VFK8taqV3aadYULbB0JpV,7IFDkphZ37yAwA19y4gJvc,Depois do Baile,2019-08-14,day,G,major,G major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.574,0.836,6,-4.052,0,0.0305,0.123,0,0.0994,0.562,145.945,6JJtgLqQlnlSeIGr40zprc,4,1,167424,FALSE,https://api.spotify.com/v1/tracks/6JJtgLqQlnlSeIGr40zprc,FALSE,Pique de Novela,56,https://p.scdn.co/mp3-preview/8e5a2c0c73686885edb60ab4fd4c7cbc5ff08923?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:6JJtgLqQlnlSeIGr40zprc,07m4vwR8F0xOHT2whQX196,Pique de Novela,2019-07-26,day,F#,minor,F# minor
